| Country              | Tier   | Monthly Price | Yearly Price |
| -------------------- | ------ | ------------- | ------------ |
| Albania              | Tier 3 | $2.5          | $27          |
| Algeria              | Tier 2 | $1.8          | $20          |
| Angola               | Tier 2 | $1.8          | $20          |
| Antigua and Barbuda  | Tier 4 | $3            | $33          |
| Argentina            | Tier 3 | $2.5          | $27          |
| Armenia              | Tier 2 | $1.8          | $20          |
| Aruba                | Tier 4 | $3            | $33          |
| Australia            | Tier 4 | $3            | $33          |
| Austria              | Tier 5 | $4            | $44          |
| Azerbaijan           | Tier 3 | $2.5          | $27          |
| Bahamas              | Tier 4 | $3            | $33          |
| Bahrain              | Tier 5 | $4            | $44          |
| Bangladesh           | Tier 1 | $1            | $11          |
| Belarus              | Tier 3 | $2.5          | $27          |
| Belgium              | Tier 5 | $4            | $44          |
| Belize               | Tier 3 | $2.5          | $27          |
| Benin                | Tier 1 | $1            | $11          |
| Bolivia              | Tier 1 | $1            | $11          |
| Bosnia & Herzegovina | Tier 3 | $2.5          | $27          |
| Botswana             | Tier 3 | $2.5          | $27          |
| Brazil               | Tier 3 | $2.5          | $27          |
| Bulgaria             | Tier 3 | $2.5          | $27          |
| Burkina Faso         | Tier 1 | $1            | $11          |
| Cambodia             | Tier 1 | $1            | $11          |
| Cameroon             | Tier 2 | $1.8          | $20          |
| Canada               | Tier 4 | $3            | $33          |
| Cape Verde           | Tier 2 | $1.8          | $20          |
| Chile                | Tier 3 | $2.5          | $27          |
| Colombia             | Tier 2 | $1.8          | $20          |
| Costa Rica           | Tier 3 | $2.5          | $27          |
| Côte d’Ivoire        | Tier 2 | $1.8          | $20          |
| Croatia              | Tier 4 | $3            | $33          |
| Cyprus               | Tier 4 | $3            | $33          |
| Czechia              | Tier 4 | $3            | $33          |
| Denmark              | Tier 5 | $4            | $44          |
| Dominican Republic   | Tier 3 | $2.5          | $27          |
| Ecuador              | Tier 2 | $1.8          | $20          |
| Egypt                | Tier 2 | $1.8          | $20          |
| El Salvador          | Tier 2 | $1.8          | $20          |
| Estonia              | Tier 4 | $3            | $33          |
| Fiji                 | Tier 2 | $1.8          | $20          |
| Finland              | Tier 5 | $4            | $44          |
| France               | Tier 5 | $4            | $44          |
| Gabon                | Tier 3 | $2.5          | $27          |
| Georgia              | Tier 2 | $1.8          | $20          |
| Germany              | Tier 5 | $4            | $44          |
| Ghana                | Tier 2 | $1.8          | $20          |
| Gibraltar            | Tier 5 | $4            | $44          |
| Greece               | Tier 4 | $3            | $33          |
| Guatemala            | Tier 2 | $1.8          | $20          |
| Guinea-Bissau        | Tier 1 | $1            | $11          |
| Haiti                | Tier 1 | $1            | $11          |
| Honduras             | Tier 2 | $1.8          | $20          |
| Hong Kong            | Tier 5 | $4            | $44          |
| Hungary              | Tier 4 | $3            | $33          |
| Iceland              | Tier 5 | $4            | $44          |
| India                | Tier 1 | $1            | $11          |
| Indonesia            | Tier 2 | $1.8          | $20          |
| Iraq                 | Tier 2 | $1.8          | $20          |
| Ireland              | Tier 5 | $4            | $44          |
| Israel               | Tier 4 | $3            | $33          |
| Italy                | Tier 4 | $3            | $33          |
| Jamaica              | Tier 3 | $2.5          | $27          |
| Japan                | Tier 4 | $3            | $33          |
| Jordan               | Tier 3 | $2.5          | $27          |
| Kazakhstan           | Tier 3 | $2.5          | $27          |
| Kenya                | Tier 1 | $1            | $11          |
| Kuwait               | Tier 5 | $4            | $44          |
| Kyrgyzstan           | Tier 2 | $1.8          | $20          |
| Laos                 | Tier 1 | $1            | $11          |
| Latvia               | Tier 4 | $3            | $33          |
| Lebanon              | Tier 2 | $1.8          | $20          |
| Liechtenstein        | Tier 5 | $4            | $44          |
| Lithuania            | Tier 4 | $3            | $33          |
| Luxembourg           | Tier 5 | $4            | $44          |
| Macau                | Tier 3 | $2.5          | $27          |
| Macedonia            | Tier 3 | $2.5          | $27          |
| Malaysia             | Tier 3 | $2.5          | $27          |
| Mali                 | Tier 1 | $1            | $11          |
| Malta                | Tier 4 | $3            | $33          |
| Mauritius            | Tier 3 | $2.5          | $27          |
| Mexico               | Tier 3 | $2.5          | $27          |
| Moldova              | Tier 2 | $1.8          | $20          |
| Monaco               | Tier 5 | $4            | $44          |
| Morocco              | Tier 2 | $1.8          | $20          |
| Mozambique           | Tier 1 | $1            | $11          |
| Myanmar              | Tier 1 | $1            | $11          |
| Namibia              | Tier 3 | $2.5          | $27          |
| Nepal                | Tier 1 | $1            | $11          |
| Netherlands          | Tier 5 | $4            | $44          |
| New Zealand          | Tier 4 | $3            | $33          |
| Nicaragua            | Tier 1 | $1            | $11          |
| Niger                | Tier 1 | $1            | $11          |
| Nigeria              | Tier 1 | $1            | $11          |
| Norway               | Tier 5 | $4            | $44          |
| Oman                 | Tier 5 | $4            | $44          |
| Pakistan             | Tier 1 | $1            | $11          |
| Panama               | Tier 3 | $2.5          | $27          |
| Papua New Guinea     | Tier 2 | $1.8          | $20          |
| Paraguay             | Tier 1 | $1            | $11          |
| Peru                 | Tier 2 | $1.8          | $20          |
| Philippines          | Tier 2 | $1.8          | $20          |
| Poland               | Tier 4 | $3            | $33          |
| Portugal             | Tier 4 | $3            | $33          |
| Qatar                | Tier 5 | $4            | $44          |
| Romania              | Tier 3 | $2.5          | $27          |
| Russia               | Tier 3 | $2.5          | $27          |
| Rwanda               | Tier 1 | $1            | $11          |
| San Marino           | Tier 5 | $4            | $44          |
| Saudi Arabia         | Tier 5 | $4            | $44          |
| Senegal              | Tier 1 | $1            | $11          |
| Serbia               | Tier 3 | $2.5          | $27          |
| Singapore            | Tier 5 | $4            | $44          |
| Slovakia             | Tier 4 | $3            | $33          |
| Slovenia             | Tier 4 | $3            | $33          |
| South Africa         | Tier 3 | $2.5          | $27          |
| South Korea          | Tier 4 | $3            | $33          |
| Spain                | Tier 4 | $3            | $33          |
| Sri Lanka            | Tier 1 | $1            | $11          |
| Sweden               | Tier 5 | $4            | $44          |
| Switzerland          | Tier 5 | $4            | $44          |
| Taiwan               | Tier 4 | $3            | $33          |
| Tajikistan           | Tier 2 | $1.8          | $20          |
| Tanzania             | Tier 1 | $1            | $11          |
| Thailand             | Tier 2 | $1.8          | $20          |
| Togo                 | Tier 1 | $1            | $11          |
| Trinidad & Tobago    | Tier 3 | $2.5          | $27          |
| Tunisia              | Tier 2 | $1.8          | $20          |
| Turkey               | Tier 3 | $2.5          | $27          |
| Turkmenistan         | Tier 2 | $1.8          | $20          |
| Uganda               | Tier 1 | $1            | $11          |
| Ukraine              | Tier 2 | $1.8          | $20          |
| United Arab Emirates | Tier 5 | $4            | $44          |
| United Kingdom       | Tier 4 | $3            | $33          |
| United States        | Tier 4 | $3            | $33          |
| Uruguay              | Tier 3 | $2.5          | $27          |
| Uzbekistan           | Tier 2 | $1.8          | $20          |
| Venezuela            | Tier 1 | $1            | $11          |
| Vietnam              | Tier 1 | $1            | $11          |
| Zambia               | Tier 1 | $1            | $11          |
| Zimbabwe             | Tier 1 | $1            | $11          |
