🌍 GLOBAL PRICING — USD-EQUIVALENT (MASTER LIST)
________________________________________
🟢 TIER 1 — Very Low Purchasing Power
Country	Monthly (USD)	Yearly (USD)
India	1.00	11
Bangladesh	1.00	11
Pakistan	1.00	11
Nepal	1.00	11
Sri Lanka	1.00	11
Cambodia	1.00	11
Laos	1.00	11
Myanmar	1.00	11
Vietnam	1.00	11
Nigeria	1.00	11
Kenya	1.00	11
Tanzania	1.00	11
Uganda	1.00	11
Rwanda	1.00	11
Senegal	1.00	11
Benin	1.00	11
Burkina Faso	1.00	11
Guinea-Bissau	1.00	11
Niger	1.00	11
Mali	1.00	11
Haiti	1.00	11
Nicaragua	1.00	11
Bolivia	1.00	11
Paraguay	1.00	11
Mozambique	1.00	11
Zambia	1.00	11
Zimbabwe	1.00	11
Comoros	1.00	11
Djibouti	1.00	11
Gambia	1.00	11
Guinea	1.00	11
Liberia	1.00	11
Sierra Leone	1.00	11
Somalia	1.00	11
Sudan	1.00	11
Yemen	1.00	11
Eritrea	1.00	11
Togo	1.00	11
Venezuela	1.00	11
Cuba	1.00	11
________________________________________
🟡 TIER 2 — Lower-Middle Income
Country	Monthly (USD)	Yearly (USD)
Indonesia	1.80	20
Philippines	1.80	20
Thailand	1.80	20
Egypt	1.80	20
Morocco	1.80	20
Tunisia	1.80	20
Algeria	1.80	20
Armenia	1.80	20
Georgia	1.80	20
Ukraine	1.80	20
Moldova	1.80	20
Ghana	1.80	20
Cameroon	1.80	20
Angola	1.80	20
Honduras	1.80	20
Guatemala	1.80	20
El Salvador	1.80	20
Ecuador	1.80	20
Peru	1.80	20
Colombia	1.80	20
Uzbekistan	1.80	20
Kyrgyzstan	1.80	20
Tajikistan	1.80	20
Turkmenistan	1.80	20
Papua New Guinea	1.80	20
Cape Verde	1.80	20
Chad	1.80	20
Côte d’Ivoire	1.80	20
Fiji	1.80	20
Iran	1.80	20
Iraq	1.80	20
Jordan	1.80	20
Lebanon	1.80	20
Suriname	1.80	20
Tonga	1.80	20
Dominica	1.80	20
________________________________________
🔵 TIER 3 — Upper-Middle Income
Country	Monthly (USD)	Yearly (USD)
Brazil	2.50	27
Mexico	2.50	27
Argentina	2.50	27
Chile	2.50	27
Costa Rica	2.50	27
Panama	2.50	27
Dominican Republic	2.50	27
Turkey	2.50	27
Kazakhstan	2.50	27
Azerbaijan	2.50	27
Malaysia	2.50	27
South Africa	2.50	27
Romania	2.50	27
Bulgaria	2.50	27
Serbia	2.50	27
Bosnia & Herzegovina	2.50	27
North Macedonia	2.50	27
Albania	2.50	27
Namibia	2.50	27
Mauritius	2.50	27
Jamaica	2.50	27
Uruguay	2.50	27
Trinidad & Tobago	2.50	27
Gabon	2.50	27
Botswana	2.50	27
Belize	2.50	27
Macau	2.50	27
Mongolia	2.50	27
Russia	2.50	27
Maldives	2.50	27
Grenada	2.50	27
St Kitts & Nevis	2.50	27
St Lucia	2.50	27
Turks & Caicos Islands	2.50	27
Seychelles	2.50	27
Solomon Islands	2.50	27
Micronesia	2.50	27
Samoa	2.50	27
Vanuatu	2.50	27
________________________________________
⚫ TIER 4 — High-Income (US Parity)
Country	Monthly (USD)	Yearly (USD)
United States	3.00	33
United Kingdom	3.00	33
Canada	3.00	33
Australia	3.00	33
New Zealand	3.00	33
Japan	3.00	33
South Korea	3.00	33
Israel	3.00	33
Taiwan	3.00	33
Spain	3.00	33
Italy	3.00	33
Portugal	3.00	33
Greece	3.00	33
Poland	3.00	33
Czechia	3.00	33
Slovakia	3.00	33
Slovenia	3.00	33
Croatia	3.00	33
Estonia	3.00	33
Latvia	3.00	33
Lithuania	3.00	33
Cyprus	3.00	33
Malta	3.00	33
Hungary	3.00	33
Aruba	3.00	33
Bahamas	3.00	33
Antigua & Barbuda	3.00	33
China	3.00	33
Belarus	3.00	33
Cuba	3.00	33
Libya	3.00	33
Micronesia	3.00	33
Vatican City	3.00	33
________________________________________
🟣 TIER 5 — Very High Purchasing Power
Country	Monthly (USD)	Yearly (USD)
Switzerland	4.00	44
Norway	4.00	44
Denmark	4.00	44
Sweden	4.00	44
Finland	4.00	44
Iceland	4.00	44
Luxembourg	4.00	44
Netherlands	4.00	44
Belgium	4.00	44
Germany	4.00	44
France	4.00	44
Austria	4.00	44
Ireland	4.00	44
Monaco	4.00	44
Liechtenstein	4.00	44
San Marino	4.00	44
Singapore	4.00	44
Hong Kong	4.00	44
United Arab Emirates	4.00	44
Qatar	4.00	44
Kuwait	4.00	44
Bahrain	4.00	44
Saudi Arabia	4.00	44
Oman	4.00	44
Bermuda	4.00	44
British Virgin Islands	4.00	44
Cayman Islands	4.00	44

