🟢 TIER 1 — Very Low Purchasing Power

Target: ≈ $1 / month
Annual: ≈ $11

Country	Currency	Monthly	Yearly
India	INR	90	990
Bangladesh	BDT	120	1,300
Pakistan	PKR	300	3,300
Nepal	NPR	140	1,540
Sri Lanka	LKR	300	3,300
Cambodia	KHR	4,000	44,000
Laos	LAK	21,000	231,000
Myanmar	MMK	3,500	38,500
Vietnam	VND	25,000	275,000
Nigeria	NGN	1,200	13,200
Kenya	KES	150	1,650
Tanzania	TZS	2,500	27,500
Uganda	UGX	3,700	40,700
Rwanda	RWF	1,300	14,300
Senegal	XOF	600	6,600
Benin	XOF	600	6,600
Burkina Faso	XOF	600	6,600
Guinea-Bissau	XOF	600	6,600
Niger	XOF	600	6,600
Mali	XOF	600	6,600
Haiti	HTG	150	1,650
Nicaragua	NIO	40	440
Bolivia	BOB	7	77
Paraguay	PYG	7,500	82,500
Mozambique	MZN	70	770
Zambia	ZMW	25	275
Zimbabwe	USD	1.00	11
🟡 TIER 2 — Lower-Middle Income

Target: ≈ $1.8 / month
Annual: ≈ $20

Country	Currency	Monthly	Yearly
Indonesia	IDR	28,000	308,000
Philippines	PHP	100	1,100
Thailand	THB	70	770
Egypt	EGP	90	990
Morocco	MAD	18	198
Tunisia	TND	6	66
Algeria	DZD	250	2,800
Armenia	AMD	700	7,700
Georgia	GEL	5	55
Ukraine	UAH	75	825
Moldova	MDL	35	385
Ghana	GHS	20	220
Cameroon	XAF	1,100	12,000
Angola	AOA	900	9,900
Honduras	HNL	45	495
Guatemala	GTQ	15	165
El Salvador	USD	1.80	20
Ecuador	USD	1.80	20
Peru	PEN	7	77
Colombia	COP	7,500	82,500
Uzbekistan	UZS	22,000	242,000
Kyrgyzstan	KGS	160	1,760
Tajikistan	TJS	20	220
Turkmenistan	TMT	6	66
Papua New Guinea	PGK	7	77
Cape Verde	CVE	180	1,980
🔵 TIER 3 — Upper-Middle Income

Target: ≈ $2.5 / month
Annual: ≈ $27

Country	Currency	Monthly	Yearly
Brazil	BRL	13	143
Mexico	MXN	45	495
Argentina	ARS	2,500	27,000
Chile	CLP	2,500	27,000
Costa Rica	CRC	1,300	14,300
Panama	PAB	2.50	27
Dominican Republic	DOP	150	1,650
Turkey	TRY	85	935
Kazakhstan	KZT	1,200	13,200
Azerbaijan	AZN	4.50	49
Malaysia	MYR	12	132
South Africa	ZAR	45	495
Romania	RON	12	132
Bulgaria	BGN	4.50	49
Serbia	RSD	300	3,300
Bosnia & Herzegovina	BAM	4.50	49
North Macedonia	MKD	150	1,650
Albania	ALL	250	2,700
Namibia	NAD	45	495
Mauritius	MUR	110	1,210
Jamaica	JMD	400	4,400
Uruguay	UYU	100	1,100
Trinidad & Tobago	TTD	17	187
Gabon	XAF	1,500	16,500
Botswana	BWP	35	385
Belize	BZD	5	55
Macau	MOP	20	220
⚫ TIER 4 — High-Income (US Parity)

Target: $3 / month
Annual: $33

Country	Currency	Monthly	Yearly
United States	USD	3.00	33
United Kingdom	GBP	2.50	27
Canada	CAD	4.00	44
Australia	AUD	4.50	49
New Zealand	NZD	4.50	49
Japan	JPY	450	4,950
South Korea	KRW	4,000	44,000
Israel	ILS	11	120
Taiwan	TWD	95	1,045
Spain	EUR	3.00	33
Italy	EUR	3.00	33
Portugal	EUR	3.00	33
Greece	EUR	3.00	33
Poland	PLN	12	132
Czechia	CZK	75	825
Slovakia	EUR	3.00	33
Slovenia	EUR	3.00	33
Croatia	EUR	3.00	33
Estonia	EUR	3.00	33
Latvia	EUR	3.00	33
Lithuania	EUR	3.00	33
Cyprus	EUR	3.00	33
Malta	EUR	3.00	33
Hungary	HUF	900	9,900
Aruba	USD	3.00	33
Bahamas	USD	3.00	33
Antigua & Barbuda	USD	3.00	33
🟣 TIER 5 — Very High Purchasing Power

Target: $4 / month
Annual: $44

Country	Currency	Monthly	Yearly
Switzerland	CHF	4.00	44
Norway	NOK	45	495
Denmark	DKK	30	330
Sweden	SEK	45	495
Finland	EUR	3.99	44
Iceland	ISK	550	6,050
Luxembourg	EUR	3.99	44
Netherlands	EUR	3.99	44
Belgium	EUR	3.99	44
Germany	EUR	3.99	44
France	EUR	3.99	44
Austria	EUR	3.99	44
Ireland	EUR	3.99	44
Monaco	EUR	3.99	44
Liechtenstein	CHF	4.00	44
San Marino	EUR	3.99	44
Singapore	SGD	5.50	60
Hong Kong	HKD	32	350
United Arab Emirates	AED	15	165
Qatar	QAR	15	165
Kuwait	KWD	1.20	13
Bahrain	BHD	1.50	16
Saudi Arabia	SAR	15	165
Oman	OMR	1.50	16
Gibraltar	GBP	3.50	38
